idempl,id_cittadino
751,ID_279374742
751,ID_284222512
752,ID_279331550
752,ID_279331550
753,ID_279400123
753,ID_284247893
754,ID_284177503
755,ID_279407072
755,ID_279407072
756,ID_284318264
757,ID_284004836
758,ID_279770059
759,ID_284081632
760,ID_278794619
760,ID_283642390
761,ID_283632150
762,ID_278966880
762,ID_283814651
763,ID_278816476
764,ID_278978309
765,ID_284578771
766,ID_284442186
767,ID_283722612
768,ID_279746117
768,ID_279746117
768,ID_284593887
768,ID_284593887
769,ID_284308606
770,ID_283895745
771,ID_279559047
772,ID_283790336
773,ID_278956761
774,ID_283964351
775,ID_279519926
775,ID_279519926
775,ID_284367696
776,ID_284295984
777,ID_279245453
778,ID_279267326
778,ID_284115096
779,ID_279234068
780,ID_279520492
780,ID_284368262
781,ID_279304633
782,ID_278820246
782,ID_283668017
783,ID_279725861
784,ID_279483770
784,ID_279483770
785,ID_279200140
785,ID_279200140
785,ID_284047910
786,ID_278785352
786,ID_278785352
786,ID_283633123
787,ID_279453191
787,ID_279453191
787,ID_284300961
788,ID_279770915
789,ID_279748992
789,ID_284395407
790,ID_279694307
790,ID_284542077
791,ID_279366018
792,ID_279732713
793,ID_278864482
794,ID_279418569
795,ID_278807399
796,ID_279759472
797,ID_279094721
798,ID_279756679
799,ID_283731525
800,ID_278783819
801,ID_279800132
802,ID_279784804
803,ID_279169064
803,ID_279169064
803,ID_279169064
804,ID_279486913
805,ID_278823998
806,ID_279794403
806,ID_284300902
807,ID_279155703
807,ID_284003473
808,ID_284546286
809,ID_284066403
810,ID_279613910
811,ID_283762387
812,ID_279729615
812,ID_284577385
813,ID_279516807
813,ID_284364577
814,ID_279353003
814,ID_279353003
814,ID_283764215
814,ID_284200773
815,ID_278842987
816,ID_284083584
817,ID_278765342
817,ID_279641496
817,ID_283613113
818,ID_278998020
818,ID_283845791
819,ID_279482909
820,ID_279220849
820,ID_279220849
820,ID_284068619
821,ID_284080075
822,ID_279313419
822,ID_284161189
823,ID_279313367
823,ID_284161137
824,ID_278939603
825,ID_284505467
826,ID_284561072
827,ID_279262281
828,ID_283894900
829,ID_278937122
830,ID_278963934
830,ID_283811705
831,ID_279379175
831,ID_284226945
832,ID_278964889
832,ID_278964889
833,ID_279265398
833,ID_283839742
833,ID_284113168
834,ID_278953986
834,ID_283801757
835,ID_279273890
835,ID_284121660
836,ID_279794368
837,ID_279794537
837,ID_284642307
838,ID_279400684
838,ID_284248454
839,ID_279799819
840,ID_279221560
840,ID_279221560
840,ID_284069330
840,ID_284069330
841,ID_284522145
842,ID_279261300
843,ID_279730643
844,ID_279754157
844,ID_284601927
845,ID_278972964
845,ID_283820735
846,ID_279734422
846,ID_284582192
847,ID_279189070
848,ID_279730644
849,ID_279729813
850,ID_279575258
851,ID_279364311
851,ID_284212081
852,ID_284330677
853,ID_279771849
853,ID_284619619
854,ID_284181230
855,ID_283770157
856,ID_279557959
857,ID_279735527
857,ID_284583297
858,ID_279471135
858,ID_284318905
859,ID_279336467
859,ID_284503625
860,ID_284212050
861,ID_279778883
862,ID_278969742
863,ID_279661012
864,ID_278794584
864,ID_278794584
864,ID_283642355
