from,to,weight,LOC,NACE_group,PG
237,91,4.060232717316906,UDINE,MAN,ENG
37,91,4.32580424366872,UDINE,MAN,ENG
8,18,0.9965776865160848,UDINE,MAN,ENG
8,91,0.4928131416837782,UDINE,MAN,ENG
65,18,0.30390143737166325,UDINE,MAN,ENG
238,18,3.378507871321013,UDINE,MAN,ENG
12,91,0.4845995893223819,UDINE,MAN,ENG
12,18,4.361396303901437,UDINE,MAN,ENG
18,91,4.057494866529774,UDINE,MAN,ENG
37,12,0.13415468856947296,UDINE,MAN,ENG
18,91,0.03011635865845311,UDINE,MAN,ENG
86,91,2.746064339493498,UDINE,MAN,ENG
8,18,1.0212183436002735,UDINE,MAN,ENG
185,12,0.49555099247091033,UDINE,MAN,ENG
239,91,0.5722108145106092,UDINE,MAN,ENG
240,18,0.9856262833675564,UDINE,MAN,MAN
134,18,0.08213552361396304,UDINE,MAN,ENG
5,779,1.5003422313483916,UDINE,MAN,ENG
12,18,0.2190280629705681,UDINE,MAN,ENG
241,18,2.3874058863791925,UDINE,MAN,ENG
137,18,0.49007529089664614,UDINE,MAN,ENG
18,91,1.949349760438056,UDINE,MAN,ENG
242,18,3.4469541409993156,UDINE,MAN,ENG
243,18,0.03011635865845311,UDINE,MAN,ENG
244,18,0.6023271731690623,UDINE,MAN,ENG
3,18,0.6926762491444216,UDINE,MAN,ENG
41,91,0.999315537303217,UDINE,MAN,MAN
245,18,0.5393566050650239,UDINE,MAN,ENG
58,18,2.6940451745379876,UDINE,MAN,ENG
49,18,3.761806981519507,UDINE,MAN,ENG
246,18,1.429158110882957,UDINE,MAN,ENG
232,18,3.923340177960301,UDINE,MAN,ENG
247,18,1.6399726214921286,UDINE,MAN,ENG
248,18,3.904175222450376,UDINE,MAN,ENG
18,91,0.9965776865160848,UDINE,MAN,ENG
249,18,5,UDINE,MAN,ENG
27,18,4.470910335386721,UDINE,MAN,ENG
18,91,3.463381245722108,UDINE,MAN,ENG
250,18,1.9630390143737169,UDINE,MAN,ENG
27,91,1.5797399041752225,UDINE,MAN,MAN
18,91,0.2190280629705681,UDINE,MAN,ENG
78,18,2.2614647501711156,UDINE,MAN,ENG
8,18,0.06297056810403832,UDINE,MAN,ENG
18,780,2.926762491444216,PORDENONE,MAN,ENG
251,781,0.5366187542778919,UDINE,MAN,BIO
194,782,2.754277891854894,GORIZIA,MAN,MAN
22,141,1.998631074606434,PORDENONE,MAN,ENG
252,141,4.093086926762491,PORDENONE,MAN,MAN
253,141,2.3928815879534566,PORDENONE,MAN,ENG
254,208,1.2785763175906912,Coast,MAN,ENG
255,783,0.243668720054757,PORDENONE,MAN,AGR
5,362,0.9965776865160848,GORIZIA,MAN,ENG
18,362,1.426420260095825,GORIZIA,MAN,ENG
8,40,0.9965776865160848,UDINE,MAN,ENG
235,40,4.594113620807666,UDINE,MAN,ENG
256,375,1.9301848049281312,PORDENONE,MAN,ENG
18,40,1.8069815195071868,UDINE,MAN,ENG
18,40,3.137577002053388,UDINE,MAN,ENG
257,40,0.6242299794661191,UDINE,MAN,ENG
258,283,0.2683093771389459,MONFALCONE,MAN,ENG
258,283,0.2683093771389459,MONFALCONE,MAN,ENG
259,236,1.998631074606434,MONFALCONE,MAN,ENG
260,57,3.0937713894592744,MANIAGO,MAN,MAN
261,57,0.8706365503080082,MANIAGO,MAN,MAN
262,58,0.4928131416837782,PORDENONE,MAN,ENG
121,58,2.105407255304586,PORDENONE,MAN,ENG
123,58,2.3326488706365502,PORDENONE,MAN,ENG
49,58,0.0054757015742642,PORDENONE,MAN,ENG
263,58,0.2518822724161533,PORDENONE,MAN,ENG
264,57,0.2464065708418891,MANIAGO,MAN,MAN
8,58,2.9979466119096507,PORDENONE,MAN,ENG
265,57,2.86652977412731,MANIAGO,MAN,MAN
266,58,0.0027378507871321,PORDENONE,MAN,ENG
27,49,0.17522245037645448,PORDENONE,MAN,ENG
267,49,1.541409993155373,PORDENONE,MAN,ENG
58,49,2.3436002737850785,PORDENONE,MAN,ENG
5,49,0.865160848733744,PORDENONE,MAN,ENG
268,49,0.4161533196440794,PORDENONE,MAN,ENG
58,49,2.3326488706365502,PORDENONE,MAN,ENG
269,49,1.4921286789869952,PORDENONE,MAN,ENG
5,49,0.9965776865160848,PORDENONE,MAN,MAN
270,49,2.6776180698151952,PORDENONE,MAN,MAN
271,49,0.49828884325804246,PORDENONE,MAN,ENG
121,27,0.621492128678987,TRIESTE,MAN,NAV
266,27,0.0027378507871321,TRIESTE,MAN,NAV
272,27,5,TRIESTE,MAN,ENG
249,27,0.5037645448323066,TRIESTE,MAN,NAV
27,249,1.1690622861054072,TRIESTE,MAN,NAV
58,27,4.317590691307323,TRIESTE,MAN,NAV
121,27,3.260780287474333,TRIESTE,MAN,ENG
134,27,0.4243668720054757,TRIESTE,MAN,NAV
249,27,3.008898015058179,TRIESTE,MAN,NAV
5,27,0.5694729637234771,TRIESTE,MAN,NAV
218,27,2.0725530458590007,TRIESTE,MAN,ENG
273,27,0.2683093771389459,TRIESTE,MAN,ARC
274,293,1.911019849418207,TRIESTE,MAN,NAV
27,627,2.0643394934976045,TRIESTE,MAN,NAV
275,27,1.3935660506502396,TRIESTE,MAN,ARC
276,27,3.8466803559206024,TRIESTE,MAN,ENG
277,27,0.12594113620807665,MONFALCONE,MAN,ENG
65,27,3.077344284736482,TRIESTE,MAN,NAV
147,27,4.355920602327173,TRIESTE,MAN,ENG
278,27,0.42984257357973993,TRIESTE,MAN,NAV
279,27,2.220396988364134,TRIESTE,MAN,NAV
58,27,5,TRIESTE,MAN,NAV
280,784,1.267624914442163,GORIZIA,MAN,MAN
217,27,0.09582477754962354,TRIESTE,MAN,ENG
